Jz	Energy
-1	-0.25
-0.875	-0.253895
-0.75	-0.260092
-0.625	-0.267786
-0.5	-0.276688
-0.375	-0.286638
-0.25	-0.297531
-0.125	-0.309297
0	-0.32188
0.125	-0.335242
0.25	-0.349354
0.375	-0.364193
0.5	-0.379745
0.625	-0.396001
0.75	-0.412954
0.875	-0.430605
1	-0.448958
1.125	-0.468021
1.25	-0.487806
1.375	-0.508326
1.5	-0.529592
1.625	-0.551612
1.75	-0.574382
1.875	-0.597883
2	-0.622077
2.125	-0.646916
2.25	-0.67234
2.375	-0.698289
2.5	-0.724704
2.625	-0.751531
2.75	-0.778723
2.875	-0.806238
3	-0.834039
