Jz Energy
-1 -0.25
-0.875 -0.253937
-0.75 -0.260128
-0.625 -0.267802
-0.5 -0.276678
-0.375 -0.2866
-0.25 -0.297465
-0.125 -0.309201
0 -0.321755
0.125 -0.335089
0.25 -0.349173
0.375 -0.363984
0.5 -0.379509
0.625 -0.395736
0.75 -0.412662
0.875 -0.430289
1 -0.448624
1.125 -0.46768
1.25 -0.487474
1.375 -0.508025
1.5 -0.529353
1.625 -0.551462
1.75 -0.574343
1.875 -0.597963
2 -0.622273
2.125 -0.647212
2.25 -0.672717
2.375 -0.698726
2.5 -0.725181
2.625 -0.752034
2.75 -0.77924
2.875 -0.806761
3 -0.834562
